SKU,Nombre del Artículo,Precio Oficial (USD),Stock Disponible
SKU-ESP32,ESP32 Development Board,$12.50,120
SKU-RPI4,Raspberry Pi 4 4GB,$45.00,8
SKU-SEN01,Sensor Ultrasónico HC-SR04,$2.20,350
SKU-MOT02,Servomotor MG996R,$6.80,45
SKU-REL04,Módulo Relé de 4 Canales,$4.50,90
SKU-OLED1,Pantalla OLED 0.96 I2C,$3.10,200
SKU-PSU12,Fuente de Poder 12V 5A,$18.90,15
SKU-STEP0,Motor a Pasos NEMA 17,$14.20,30
SKU-DRV88,Driver A4988 para Motor,$1.80,500
SKU-CAB10,Kit de Cables Jumper (100pcs),$2.50,150
SKU-ARDU0,Arduino Uno R3 Compatible,$8.50,65
SKU-NANO3,Arduino Nano CH340,$4.20,0
SKU-INTR0,Sensor Infrarrojo de Presencia,$1.50,80
SKU-DHT22,Sensor Temperatura y Humedad,$3.80,110
SKU-LCD16,Pantalla LCD 16x2 con I2C,$5.20,40
SKU-RFID0,Módulo Lector RFID RC522,$4.00,25
SKU-KEY44,Teclado Matricial 4x4 Membrana,$1.20,300
SKU-BREAD,Protoboard de 830 Puntos,$2.90,180
SKU-BLU05,Módulo Bluetooth HC-05,$4.80,14
SKU-WIFI0,Módulo WiFi ESP8266 ESP-01,$2.10,95
SKU-RESI0,Kit de Resistencias (600pcs),$5.50,400
SKU-KA220,Cautín Eléctrico Lápiz 60W,$12.00,22
SKU-MULT0,Multímetro Digital Básico,$15.50,12
SKU-FAN05,Ventilador 5V para Gabinete,$1.75,75
SKU-CASE4,Carcasa de Acrílico para RPi4,$3.90,19
